instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,expiry_date_extracted
14627330,57138,ABFRL25MAYFUT,ABFRL,0,2025-05-29,0.0,0.05,2600,FUT,NFO-FUT,NFO,25MAY
14539266,56794,ABFRL25JUNFUT,ABFRL,0,2025-06-26,0.0,0.05,2600,FUT,NFO-FUT,NFO,25JUN
13624578,53221,ABFRL25JULFUT,ABFRL,0,2025-07-31,0.0,0.05,2600,FUT,NFO-FUT,NFO,25JUL
14627586,57139,ACC25MAYFUT,ACC,0,2025-05-29,0.0,0.1,300,FUT,NFO-FUT,NFO,25MAY
14539522,56795,ACC25JUNFUT,ACC,0,2025-06-26,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUN
13624834,53222,ACC25JULFUT,ACC,0,2025-07-31,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUL
14627842,57140,ADANIENSOL25MAYFUT,ADANIENSOL,0,2025-05-29,0.0,0.05,625,FUT,NFO-FUT,NFO,25MAY
14540290,56798,ADANIENSOL25JUNFUT,ADANIENSOL,0,2025-06-26,0.0,0.05,625,FUT,NFO-FUT,NFO,25JUN
13625090,53223,ADANIENSOL25JULFUT,ADANIENSOL,0,2025-07-31,0.0,0.05,675,FUT,NFO-FUT,NFO,25JUL
14628098,57141,ADANIENT25MAYFUT,ADANIENT,0,2025-05-29,0.0,0.1,300,FUT,NFO-FUT,NFO,25MAY
14540546,56799,ADANIENT25JUNFUT,ADANIENT,0,2025-06-26,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUN
13625346,53224,ADANIENT25JULFUT,ADANIENT,0,2025-07-31,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUL
14628354,57142,ADANIGREEN25MAYFUT,ADANIGREEN,0,2025-05-29,0.0,0.05,375,FUT,NFO-FUT,NFO,25MAY
14540802,56800,ADANIGREEN25JUNFUT,ADANIGREEN,0,2025-06-26,0.0,0.05,375,FUT,NFO-FUT,NFO,25JUN
13625602,53225,ADANIGREEN25JULFUT,ADANIGREEN,0,2025-07-31,0.0,0.05,600,FUT,NFO-FUT,NFO,25JUL
14628610,57143,ADANIPORTS25MAYFUT,ADANIPORTS,0,2025-05-29,0.0,0.1,400,FUT,NFO-FUT,NFO,25MAY
14541058,56801,ADANIPORTS25JUNFUT,ADANIPORTS,0,2025-06-26,0.0,0.1,400,FUT,NFO-FUT,NFO,25JUN
13625858,53226,ADANIPORTS25JULFUT,ADANIPORTS,0,2025-07-31,0.0,0.1,475,FUT,NFO-FUT,NFO,25JUL
14628866,57144,ALKEM25MAYFUT,ALKEM,0,2025-05-29,0.0,0.5,100,FUT,NFO-FUT,NFO,25MAY
14542338,56806,ALKEM25JUNFUT,ALKEM,0,2025-06-26,0.0,0.5,100,FUT,NFO-FUT,NFO,25JUN
13626114,53227,ALKEM25JULFUT,ALKEM,0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUL
14629122,57145,AMBUJACEM25MAYFUT,AMBUJACEM,0,2025-05-29,0.0,0.05,900,FUT,NFO-FUT,NFO,25MAY
14542594,56807,AMBUJACEM25JUNFUT,AMBUJACEM,0,2025-06-26,0.0,0.05,900,FUT,NFO-FUT,NFO,25JUN
13628162,53235,AMBUJACEM25JULFUT,AMBUJACEM,0,2025-07-31,0.0,0.05,1050,FUT,NFO-FUT,NFO,25JUL
14629378,57146,ANGELONE25MAYFUT,ANGELONE,0,2025-05-29,0.0,0.1,200,FUT,NFO-FUT,NFO,25MAY
14542850,56808,ANGELONE25JUNFUT,ANGELONE,0,2025-06-26,0.0,0.1,200,FUT,NFO-FUT,NFO,25JUN
13628418,53236,ANGELONE25JULFUT,ANGELONE,0,2025-07-31,0.0,0.1,250,FUT,NFO-FUT,NFO,25JUL
14629634,57147,APLAPOLLO25MAYFUT,APLAPOLLO,0,2025-05-29,0.0,0.1,350,FUT,NFO-FUT,NFO,25MAY
14543106,56809,APLAPOLLO25JUNFUT,APLAPOLLO,0,2025-06-26,0.0,0.1,350,FUT,NFO-FUT,NFO,25JUN
13629442,53240,APLAPOLLO25JULFUT,APLAPOLLO,0,2025-07-31,0.0,0.1,350,FUT,NFO-FUT,NFO,25JUL
14629890,57148,APOLLOHOSP25MAYFUT,APOLLOHOSP,0,2025-05-29,0.0,0.5,125,FUT,NFO-FUT,NFO,25MAY
14543362,56810,APOLLOHOSP25JUNFUT,APOLLOHOSP,0,2025-06-26,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUN
13629698,53241,APOLLOHOSP25JULFUT,APOLLOHOSP,0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUL
14630146,57149,APOLLOTYRE25MAYFUT,APOLLOTYRE,0,2025-05-29,0.0,0.05,1700,FUT,NFO-FUT,NFO,25MAY
14630402,57150,ASHOKLEY25MAYFUT,ASHOKLEY,0,2025-05-29,0.0,0.01,2500,FUT,NFO-FUT,NFO,25MAY
14543618,56811,ASHOKLEY25JUNFUT,ASHOKLEY,0,2025-06-26,0.0,0.01,2500,FUT,NFO-FUT,NFO,25JUN
13630466,53244,ASHOKLEY25JULFUT,ASHOKLEY,0,2025-07-31,0.0,0.01,2500,FUT,NFO-FUT,NFO,25JUL
14630658,57151,ASIANPAINT25MAYFUT,ASIANPAINT,0,2025-05-29,0.0,0.1,200,FUT,NFO-FUT,NFO,25MAY
14544898,56816,ASIANPAINT25JUNFUT,ASIANPAINT,0,2025-06-26,0.0,0.1,200,FUT,NFO-FUT,NFO,25JUN
13630722,53245,ASIANPAINT25JULFUT,ASIANPAINT,0,2025-07-31,0.0,0.1,250,FUT,NFO-FUT,NFO,25JUL
14630914,57152,ASTRAL25MAYFUT,ASTRAL,0,2025-05-29,0.0,0.1,367,FUT,NFO-FUT,NFO,25MAY
14545154,56817,ASTRAL25JUNFUT,ASTRAL,0,2025-06-26,0.0,0.1,367,FUT,NFO-FUT,NFO,25JUN
13630978,53246,ASTRAL25JULFUT,ASTRAL,0,2025-07-31,0.0,0.1,425,FUT,NFO-FUT,NFO,25JUL
14631170,57153,ATGL25MAYFUT,ATGL,0,2025-05-29,0.0,0.05,775,FUT,NFO-FUT,NFO,25MAY
14545410,56818,ATGL25JUNFUT,ATGL,0,2025-06-26,0.0,0.05,775,FUT,NFO-FUT,NFO,25JUN
13631234,53247,ATGL25JULFUT,ATGL,0,2025-07-31,0.0,0.05,875,FUT,NFO-FUT,NFO,25JUL
14631426,57154,AUBANK25MAYFUT,AUBANK,0,2025-05-29,0.0,0.05,1000,FUT,NFO-FUT,NFO,25MAY
14545666,56819,AUBANK25JUNFUT,AUBANK,0,2025-06-26,0.0,0.05,1000,FUT,NFO-FUT,NFO,25JUN
13631490,53248,AUBANK25JULFUT,AUBANK,0,2025-07-31,0.0,0.05,1000,FUT,NFO-FUT,NFO,25JUL
14631682,57155,AUROPHARMA25MAYFUT,AUROPHARMA,0,2025-05-29,0.0,0.1,550,FUT,NFO-FUT,NFO,25MAY
14546434,56822,AUROPHARMA25JUNFUT,AUROPHARMA,0,2025-06-26,0.0,0.1,550,FUT,NFO-FUT,NFO,25JUN
13631746,53249,AUROPHARMA25JULFUT,AUROPHARMA,0,2025-07-31,0.0,0.1,550,FUT,NFO-FUT,NFO,25JUL
14631938,57156,AXISBANK25MAYFUT,AXISBANK,0,2025-05-29,0.0,0.1,625,FUT,NFO-FUT,NFO,25MAY
14546690,56823,AXISBANK25JUNFUT,AXISBANK,0,2025-06-26,0.0,0.1,625,FUT,NFO-FUT,NFO,25JUN
13632002,53250,AXISBANK25JULFUT,AXISBANK,0,2025-07-31,0.0,0.1,625,FUT,NFO-FUT,NFO,25JUL
14632194,57157,BAJAJ-AUTO25MAYFUT,BAJAJ-AUTO,0,2025-05-29,0.0,0.5,75,FUT,NFO-FUT,NFO,25MAY
14547458,56826,BAJAJ-AUTO25JUNFUT,BAJAJ-AUTO,0,2025-06-26,0.0,0.5,75,FUT,NFO-FUT,NFO,25JUN
13632258,53251,BAJAJ-AUTO25JULFUT,BAJAJ-AUTO,0,2025-07-31,0.0,0.5,75,FUT,NFO-FUT,NFO,25JUL
14632962,57160,BAJAJFINSV25MAYFUT,BAJAJFINSV,0,2025-05-29,0.0,0.1,500,FUT,NFO-FUT,NFO,25MAY
14547714,56827,BAJAJFINSV25JUNFUT,BAJAJFINSV,0,2025-06-26,0.0,0.1,500,FUT,NFO-FUT,NFO,25JUN
13632514,53252,BAJAJFINSV25JULFUT,BAJAJFINSV,0,2025-07-31,0.0,0.1,500,FUT,NFO-FUT,NFO,25JUL
14633218,57161,BAJFINANCE25MAYFUT,BAJFINANCE,0,2025-05-29,0.0,0.5,125,FUT,NFO-FUT,NFO,25MAY
14547970,56828,BAJFINANCE25JUNFUT,BAJFINANCE,0,2025-06-26,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUN
13632770,53253,BAJFINANCE25JULFUT,BAJFINANCE,0,2025-07-31,0.0,0.5,75,FUT,NFO-FUT,NFO,25JUL
14633474,57162,BALKRISIND25MAYFUT,BALKRISIND,0,2025-05-29,0.0,0.1,300,FUT,NFO-FUT,NFO,25MAY
14548226,56829,BALKRISIND25JUNFUT,BALKRISIND,0,2025-06-26,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUN
13633026,53254,BALKRISIND25JULFUT,BALKRISIND,0,2025-07-31,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUL
14633730,57163,BANDHANBNK25MAYFUT,BANDHANBNK,0,2025-05-29,0.0,0.01,2800,FUT,NFO-FUT,NFO,25MAY
14548482,56830,BANDHANBNK25JUNFUT,BANDHANBNK,0,2025-06-26,0.0,0.01,2800,FUT,NFO-FUT,NFO,25JUN
13633282,53255,BANDHANBNK25JULFUT,BANDHANBNK,0,2025-07-31,0.0,0.01,3600,FUT,NFO-FUT,NFO,25JUL
14633986,57164,BANKBARODA25MAYFUT,BANKBARODA,0,2025-05-29,0.0,0.01,2925,FUT,NFO-FUT,NFO,25MAY
14548738,56831,BANKBARODA25JUNFUT,BANKBARODA,0,2025-06-26,0.0,0.01,2925,FUT,NFO-FUT,NFO,25JUN
13633538,53256,BANKBARODA25JULFUT,BANKBARODA,0,2025-07-31,0.0,0.01,2925,FUT,NFO-FUT,NFO,25JUL
14634242,57165,BANKINDIA25MAYFUT,BANKINDIA,0,2025-05-29,0.0,0.01,4825,FUT,NFO-FUT,NFO,25MAY
14548994,56832,BANKINDIA25JUNFUT,BANKINDIA,0,2025-06-26,0.0,0.01,4825,FUT,NFO-FUT,NFO,25JUN
13633794,53257,BANKINDIA25JULFUT,BANKINDIA,0,2025-07-31,0.0,0.01,5200,FUT,NFO-FUT,NFO,25JUL
14634498,57166,BEL25MAYFUT,BEL,0,2025-05-29,0.0,0.05,2850,FUT,NFO-FUT,NFO,25MAY
14549250,56833,BEL25JUNFUT,BEL,0,2025-06-26,0.0,0.05,2850,FUT,NFO-FUT,NFO,25JUN
13634050,53258,BEL25JULFUT,BEL,0,2025-07-31,0.0,0.05,2850,FUT,NFO-FUT,NFO,25JUL
14634754,57167,BHARATFORG25MAYFUT,BHARATFORG,0,2025-05-29,0.0,0.1,500,FUT,NFO-FUT,NFO,25MAY
14549506,56834,BHARATFORG25JUNFUT,BHARATFORG,0,2025-06-26,0.0,0.1,500,FUT,NFO-FUT,NFO,25JUN
13634306,53259,BHARATFORG25JULFUT,BHARATFORG,0,2025-07-31,0.0,0.1,500,FUT,NFO-FUT,NFO,25JUL
14635010,57168,BHARTIARTL25MAYFUT,BHARTIARTL,0,2025-05-29,0.0,0.1,475,FUT,NFO-FUT,NFO,25MAY
14549762,56835,BHARTIARTL25JUNFUT,BHARTIARTL,0,2025-06-26,0.0,0.1,475,FUT,NFO-FUT,NFO,25JUN
13634562,53260,BHARTIARTL25JULFUT,BHARTIARTL,0,2025-07-31,0.0,0.1,475,FUT,NFO-FUT,NFO,25JUL
14635266,57169,BHEL25MAYFUT,BHEL,0,2025-05-29,0.0,0.01,2625,FUT,NFO-FUT,NFO,25MAY
14550530,56838,BHEL25JUNFUT,BHEL,0,2025-06-26,0.0,0.01,2625,FUT,NFO-FUT,NFO,25JUN
13634818,53261,BHEL25JULFUT,BHEL,0,2025-07-31,0.0,0.01,2625,FUT,NFO-FUT,NFO,25JUL
14635522,57170,BIOCON25MAYFUT,BIOCON,0,2025-05-29,0.0,0.05,2500,FUT,NFO-FUT,NFO,25MAY
14550786,56839,BIOCON25JUNFUT,BIOCON,0,2025-06-26,0.0,0.05,2500,FUT,NFO-FUT,NFO,25JUN
13635074,53262,BIOCON25JULFUT,BIOCON,0,2025-07-31,0.0,0.05,2500,FUT,NFO-FUT,NFO,25JUL
14635778,57171,BOSCHLTD25MAYFUT,BOSCHLTD,0,2025-05-29,0.0,5.0,25,FUT,NFO-FUT,NFO,25MAY
14552066,56844,BOSCHLTD25JUNFUT,BOSCHLTD,0,2025-06-26,0.0,5.0,25,FUT,NFO-FUT,NFO,25JUN
13635330,53263,BOSCHLTD25JULFUT,BOSCHLTD,0,2025-07-31,0.0,5.0,25,FUT,NFO-FUT,NFO,25JUL
14636034,57172,BPCL25MAYFUT,BPCL,0,2025-05-29,0.0,0.05,1800,FUT,NFO-FUT,NFO,25MAY
14552322,56845,BPCL25JUNFUT,BPCL,0,2025-06-26,0.0,0.05,1800,FUT,NFO-FUT,NFO,25JUN
13635586,53264,BPCL25JULFUT,BPCL,0,2025-07-31,0.0,0.05,1975,FUT,NFO-FUT,NFO,25JUL
14636290,57173,BRITANNIA25MAYFUT,BRITANNIA,0,2025-05-29,0.0,0.5,100,FUT,NFO-FUT,NFO,25MAY
14552578,56846,BRITANNIA25JUNFUT,BRITANNIA,0,2025-06-26,0.0,0.5,100,FUT,NFO-FUT,NFO,25JUN
13635842,53265,BRITANNIA25JULFUT,BRITANNIA,0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUL
14636546,57174,BSE25MAYFUT,BSE,0,2025-05-29,0.0,0.5,125,FUT,NFO-FUT,NFO,25MAY
14552834,56847,BSE25JUNFUT,BSE,0,2025-06-26,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUN
13636610,53268,BSE25JULFUT,BSE,0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUL
14636802,57175,BSOFT25MAYFUT,BSOFT,0,2025-05-29,0.0,0.05,1000,FUT,NFO-FUT,NFO,25MAY
14553090,56848,BSOFT25JUNFUT,BSOFT,0,2025-06-26,0.0,0.05,1000,FUT,NFO-FUT,NFO,25JUN
13636866,53269,BSOFT25JULFUT,BSOFT,0,2025-07-31,0.0,0.05,1300,FUT,NFO-FUT,NFO,25JUL
14637058,57176,CAMS25MAYFUT,CAMS,0,2025-05-29,0.0,0.1,125,FUT,NFO-FUT,NFO,25MAY
14553346,56849,CAMS25JUNFUT,CAMS,0,2025-06-26,0.0,0.1,125,FUT,NFO-FUT,NFO,25JUN
13637122,53270,CAMS25JULFUT,CAMS,0,2025-07-31,0.0,0.1,150,FUT,NFO-FUT,NFO,25JUL
14637314,57177,CANBK25MAYFUT,CANBK,0,2025-05-29,0.0,0.01,6750,FUT,NFO-FUT,NFO,25MAY
14553602,56850,CANBK25JUNFUT,CANBK,0,2025-06-26,0.0,0.01,6750,FUT,NFO-FUT,NFO,25JUN
13637890,53273,CANBK25JULFUT,CANBK,0,2025-07-31,0.0,0.01,6750,FUT,NFO-FUT,NFO,25JUL
14637570,57178,CDSL25MAYFUT,CDSL,0,2025-05-29,0.0,0.1,350,FUT,NFO-FUT,NFO,25MAY
14553858,56851,CDSL25JUNFUT,CDSL,0,2025-06-26,0.0,0.1,350,FUT,NFO-FUT,NFO,25JUN
13638146,53274,CDSL25JULFUT,CDSL,0,2025-07-31,0.0,0.1,475,FUT,NFO-FUT,NFO,25JUL
14637826,57179,CESC25MAYFUT,CESC,0,2025-05-29,0.0,0.01,2925,FUT,NFO-FUT,NFO,25MAY
14554114,56852,CESC25JUNFUT,CESC,0,2025-06-26,0.0,0.01,2925,FUT,NFO-FUT,NFO,25JUN
13638402,53275,CESC25JULFUT,CESC,0,2025-07-31,0.0,0.01,3625,FUT,NFO-FUT,NFO,25JUL
14638082,57180,CGPOWER25MAYFUT,CGPOWER,0,2025-05-29,0.0,0.05,725,FUT,NFO-FUT,NFO,25MAY
14554370,56853,CGPOWER25JUNFUT,CGPOWER,0,2025-06-26,0.0,0.05,725,FUT,NFO-FUT,NFO,25JUN
13638658,53276,CGPOWER25JULFUT,CGPOWER,0,2025-07-31,0.0,0.05,850,FUT,NFO-FUT,NFO,25JUL
14638338,57181,CHAMBLFERT25MAYFUT,CHAMBLFERT,0,2025-05-29,0.0,0.05,950,FUT,NFO-FUT,NFO,25MAY
14555138,56856,CHAMBLFERT25JUNFUT,CHAMBLFERT,0,2025-06-26,0.0,0.05,950,FUT,NFO-FUT,NFO,25JUN
13638914,53277,CHAMBLFERT25JULFUT,CHAMBLFERT,0,2025-07-31,0.0,0.05,950,FUT,NFO-FUT,NFO,25JUL
14638594,57182,CHOLAFIN25MAYFUT,CHOLAFIN,0,2025-05-29,0.0,0.1,625,FUT,NFO-FUT,NFO,25MAY
14555394,56857,CHOLAFIN25JUNFUT,CHOLAFIN,0,2025-06-26,0.0,0.1,625,FUT,NFO-FUT,NFO,25JUN
13639170,53278,CHOLAFIN25JULFUT,CHOLAFIN,0,2025-07-31,0.0,0.1,625,FUT,NFO-FUT,NFO,25JUL
14638850,57183,CIPLA25MAYFUT,CIPLA,0,2025-05-29,0.0,0.1,325,FUT,NFO-FUT,NFO,25MAY
14555650,56858,CIPLA25JUNFUT,CIPLA,0,2025-06-26,0.0,0.1,325,FUT,NFO-FUT,NFO,25JUN
13639426,53279,CIPLA25JULFUT,CIPLA,0,2025-07-31,0.0,0.1,375,FUT,NFO-FUT,NFO,25JUL
14639106,57184,COALINDIA25MAYFUT,COALINDIA,0,2025-05-29,0.0,0.05,1050,FUT,NFO-FUT,NFO,25MAY
14555906,56859,COALINDIA25JUNFUT,COALINDIA,0,2025-06-26,0.0,0.05,1050,FUT,NFO-FUT,NFO,25JUN
13639682,53280,COALINDIA25JULFUT,COALINDIA,0,2025-07-31,0.0,0.05,1350,FUT,NFO-FUT,NFO,25JUL
14639362,57185,COFORGE25MAYFUT,COFORGE,0,2025-05-29,0.0,0.5,75,FUT,NFO-FUT,NFO,25MAY
14556162,56860,COFORGE25JUNFUT,COFORGE,0,2025-06-26,0.0,0.5,75,FUT,NFO-FUT,NFO,25JUN
13639938,53281,COFORGE25JULFUT,COFORGE,0,2025-07-31,0.0,0.5,75,FUT,NFO-FUT,NFO,25JUL
14639618,57186,COLPAL25MAYFUT,COLPAL,0,2025-05-29,0.0,0.1,175,FUT,NFO-FUT,NFO,25MAY
14556418,56861,COLPAL25JUNFUT,COLPAL,0,2025-06-26,0.0,0.1,175,FUT,NFO-FUT,NFO,25JUN
13640706,53284,COLPAL25JULFUT,COLPAL,0,2025-07-31,0.0,0.1,225,FUT,NFO-FUT,NFO,25JUL
14639874,57187,CONCOR25MAYFUT,CONCOR,0,2025-05-29,0.0,0.05,1000,FUT,NFO-FUT,NFO,25MAY
14556674,56862,CONCOR25JUNFUT,CONCOR,0,2025-06-26,0.0,0.05,1000,FUT,NFO-FUT,NFO,25JUN
13641986,53289,CONCOR25JULFUT,CONCOR,0,2025-07-31,0.0,0.05,1000,FUT,NFO-FUT,NFO,25JUL
14640130,57188,CROMPTON25MAYFUT,CROMPTON,0,2025-05-29,0.0,0.05,1800,FUT,NFO-FUT,NFO,25MAY
14556930,56863,CROMPTON25JUNFUT,CROMPTON,0,2025-06-26,0.0,0.05,1800,FUT,NFO-FUT,NFO,25JUN
13642242,53290,CROMPTON25JULFUT,CROMPTON,0,2025-07-31,0.0,0.05,1800,FUT,NFO-FUT,NFO,25JUL
14640386,57189,CUMMINSIND25MAYFUT,CUMMINSIND,0,2025-05-29,0.0,0.1,150,FUT,NFO-FUT,NFO,25MAY
14557186,56864,CUMMINSIND25JUNFUT,CUMMINSIND,0,2025-06-26,0.0,0.1,150,FUT,NFO-FUT,NFO,25JUN
13642498,53291,CUMMINSIND25JULFUT,CUMMINSIND,0,2025-07-31,0.0,0.1,200,FUT,NFO-FUT,NFO,25JUL
14640642,57190,CYIENT25MAYFUT,CYIENT,0,2025-05-29,0.0,0.1,300,FUT,NFO-FUT,NFO,25MAY
14557442,56865,CYIENT25JUNFUT,CYIENT,0,2025-06-26,0.0,0.1,300,FUT,NFO-FUT,NFO,25JUN
13642754,53292,CYIENT25JULFUT,CYIENT,0,2025-07-31,0.0,0.1,425,FUT,NFO-FUT,NFO,25JUL
14640898,57191,DABUR25MAYFUT,DABUR,0,2025-05-29,0.0,0.05,1250,FUT,NFO-FUT,NFO,25MAY
14566402,56900,DABUR25JUNFUT,DABUR,0,2025-06-26,0.0,0.05,1250,FUT,NFO-FUT,NFO,25JUN
13643010,53293,DABUR25JULFUT,DABUR,0,2025-07-31,0.0,0.05,1250,FUT,NFO-FUT,NFO,25JUL
14641154,57192,DALBHARAT25MAYFUT,DALBHARAT,0,2025-05-29,0.0,0.1,275,FUT,NFO-FUT,NFO,25MAY
14566658,56901,DALBHARAT25JUNFUT,DALBHARAT,0,2025-06-26,0.0,0.1,275,FUT,NFO-FUT,NFO,25JUN
13643266,53294,DALBHARAT25JULFUT,DALBHARAT,0,2025-07-31,0.0,0.1,325,FUT,NFO-FUT,NFO,25JUL
14641410,57193,DEEPAKNTR25MAYFUT,DEEPAKNTR,0,2025-05-29,0.0,0.1,300,FUT,NFO-FUT,NFO,25MAY
14641666,57194,DELHIVERY25MAYFUT,DELHIVERY,0,2025-05-29,0.0,0.05,1525,FUT,NFO-FUT,NFO,25MAY
14567426,56904,DELHIVERY25JUNFUT,DELHIVERY,0,2025-06-26,0.0,0.05,1525,FUT,NFO-FUT,NFO,25JUN
13643522,53295,DELHIVERY25JULFUT,DELHIVERY,0,2025-07-31,0.0,0.05,2075,FUT,NFO-FUT,NFO,25JUL
14641922,57195,DIVISLAB25MAYFUT,DIVISLAB,0,2025-05-29,0.0,0.5,100,FUT,NFO-FUT,NFO,25MAY
14567682,56905,DIVISLAB25JUNFUT,DIVISLAB,0,2025-06-26,0.0,0.5,100,FUT,NFO-FUT,NFO,25JUN
13643778,53296,DIVISLAB25JULFUT,DIVISLAB,0,2025-07-31,0.0,0.5,100,FUT,NFO-FUT,NFO,25JUL
14642178,57196,DIXON25MAYFUT,DIXON,0,2025-05-29,0.0,1.0,50,FUT,NFO-FUT,NFO,25MAY
14567938,56906,DIXON25JUNFUT,DIXON,0,2025-06-26,0.0,1.0,50,FUT,NFO-FUT,NFO,25JUN
13644034,53297,DIXON25JULFUT,DIXON,0,2025-07-31,0.0,1.0,50,FUT,NFO-FUT,NFO,25JUL
14642434,57197,DLF25MAYFUT,DLF,0,2025-05-29,0.0,0.05,825,FUT,NFO-FUT,NFO,25MAY
14568194,56907,DLF25JUNFUT,DLF,0,2025-06-26,0.0,0.05,825,FUT,NFO-FUT,NFO,25JUN
13644290,53298,DLF25JULFUT,DLF,0,2025-07-31,0.0,0.05,825,FUT,NFO-FUT,NFO,25JUL
14642690,57198,DMART25MAYFUT,DMART,0,2025-05-29,0.0,0.1,150,FUT,NFO-FUT,NFO,25MAY
14568450,56908,DMART25JUNFUT,DMART,0,2025-06-26,0.0,0.1,150,FUT,NFO-FUT,NFO,25JUN
13644546,53299,DMART25JULFUT,DMART,0,2025-07-31,0.0,0.1,150,FUT,NFO-FUT,NFO,25JUL
14642946,57199,DRREDDY25MAYFUT,DRREDDY,0,2025-05-29,0.0,0.1,625,FUT,NFO-FUT,NFO,25MAY
14568706,56909,DRREDDY25JUNFUT,DRREDDY,0,2025-06-26,0.0,0.1,625,FUT,NFO-FUT,NFO,25JUN
13644802,53300,DRREDDY25JULFUT,DRREDDY,0,2025-07-31,0.0,0.1,625,FUT,NFO-FUT,NFO,25JUL
14643714,57202,EICHERMOT25MAYFUT,EICHERMOT,0,2025-05-29,0.0,0.5,175,FUT,NFO-FUT,NFO,25MAY
14568962,56910,EICHERMOT25JUNFUT,EICHERMOT,0,2025-06-26,0.0,0.5,175,FUT,NFO-FUT,NFO,25JUN
13645058,53301,EICHERMOT25JULFUT,EICHERMOT,0,2025-07-31,0.0,0.5,175,FUT,NFO-FUT,NFO,25JUL
14643970,57203,ESCORTS25MAYFUT,ESCORTS,0,2025-05-29,0.0,0.1,150,FUT,NFO-FUT,NFO,25MAY
14736386,57564,ETERNAL25MAYFUT,ETERNAL,0,2025-05-29,0.0,0.01,2000,FUT,NFO-FUT,NFO,25MAY
14663170,57278,ETERNAL25JUNFUT,ETERNAL,0,2025-06-26,0.0,0.01,2000,FUT,NFO-FUT,NFO,25JUN
13645314,53302,ETERNAL25JULFUT,ETERNAL,0,2025-07-31,0.0,0.01,2425,FUT,NFO-FUT,NFO,25JUL
14644226,57204,EXIDEIND25MAYFUT,EXIDEIND,0,2025-05-29,0.0,0.05,1800,FUT,NFO-FUT,NFO,25MAY
14569218,56911,EXIDEIND25JUNFUT,EXIDEIND,0,2025-06-26,0.0,0.05,1800,FUT,NFO-FUT,NFO,25JUN
13645570,53303,EXIDEIND25JULFUT,EXIDEIND,0,2025-07-31,0.0,0.05,1800,FUT,NFO-FUT,NFO,25JUL
14644482,57205,FEDERALBNK25MAYFUT,FEDERALBNK,0,2025-05-29,0.0,0.01,5000,FUT,NFO-FUT,NFO,25MAY
